Player,Team,Pos,FPbest,FPworst
Jared Cook,OAK,TE,113,235
Derek Carr,OAK,QB,107,316
Anthony Miller,CHI,WR,96,234
DeSean Jackson,TB,WR,85,243
Los Angeles,LAR,DST,113,227
Matt Breida,SF,RB,88,275
Michael Gallup,DAL,WR,88,229
Calvin Ridley,ATL,WR,80,217
Chris Godwin,TB,WR,90,234
Los Angeles,LAC,DST,116,232
Mitch Trubisky,CHI,QB,117,318
Latavius Murray,MIN,RB,92,251
Austin Seferian-Jenkins,JAC,TE,90,251
Eli Manning,NYG,QB,112,319
Tyrell Williams,LAC,WR,109,256
Adrian Peterson,WAS,RB,84,271
Mohamed Sanu,ATL,WR,78,247
Houston,HOU,DST,120,233
Ricky Seals-Jones,ARI,TE,108,248
John Brown,BAL,WR,86,244
Case Keenum,DEN,QB,107,320
Dede Westbrook,JAC,WR,88,251
Benjamin Watson,NO,TE,118,241
Denver,DEN,DST,118,230
Keelan Cole,JAC,WR,99,233
Dez Bryant,FA,WR,53,287
Paul Richardson,WAS,WR,105,228
Andy Dalton,CIN,QB,114,321
Jordan Wilkins,IND,RB,99,251
Stephen Gostkowski,NE,K,121,242
Baltimore,BAL,DST,122,258
Ted Ginn,NO,WR,99,261
Jameis Winston,TB,QB,93,322
Nyheim Hines,IND,RB,47,242
Austin Hooper,ATL,TE,121,274
LeGarrette Blount,DET,RB,102,272
DOnta Foreman,HOU,RB,108,243
Frank Gore,MIA,RB,105,242
Justin Tucker,BAL,K,123,244
Samaje Perine,WAS,RB,74,362
Greg Zuerlein,LAR,K,124,239
Vance McDonald,PIT,TE,101,241
Doug Martin,OAK,RB,130,246
Javorius Allen,BAL,RB,89,283
Mike Gesicki,MIA,TE,104,255
Austin Ekeler,LAC,RB,102,286
New Orleans,NO,DST,125,245
John Ross,CIN,WR,80,285
Tyrod Taylor,CLE,QB,100,323
Matt Bryant,ATL,K,126,253
Martavis Bryant,OAK,WR,92,252
Robert Kelley,WAS,RB,97,292
Ryan Tannehill,MIA,QB,133,324
Danny Amendola,MIA,WR,100,233
Christian Kirk,ARI,WR,105,244
Geronimo Allison,GB,WR,91,264
New England,NE,DST,129,265
Wil Lutz,NO,K,132,230
T.J. Yeldon,JAC,RB,127,247
Ryan Grant,IND,WR,117,272
Pittsburgh,PIT,DST,134,262
Seattle,SEA,DST,130,350
Chris Ivory,BUF,RB,124,268
Cole Beasley,DAL,WR,101,268
Mike Wallace,PHI,WR,62,253
Kenneth Dixon,BAL,RB,105,299
Quincy Enunwa,NYJ,WR,103,253
Corey Coleman,BUF,WR,112,273
Carolina,CAR,DST,133,312
Taywan Taylor,TEN,WR,87,262
Donte Moncrief,JAC,WR,80,261
Jake Elliott,PHI,K,138,254
Hayden Hurst,BAL,TE,117,273
Spencer Ware,KC,RB,127,257
James Washington,PIT,WR,104,273
Matt Prater,DET,K,134,247
Darren Sproles,PHI,RB,132,261
Dan Bailey,DAL,K,138,277
Kansas City,KC,DST,135,318
Chicago,CHI,DST,140,274
Kalen Ballage,MIA,RB,100,286
Chris Boswell,PIT,K,139,238
Atlanta,ATL,DST,141,290
Courtland Sutton,DEN,WR,136,275
Harrison Butker,KC,K,141,269
Joe Flacco,BAL,QB,143,325
Luke Willson,DET,TE,121,275
Wayne Gallman,NYG,RB,148,336
Mason Crosby,GB,K,145,255
Albert Wilson,MIA,WR,114,261
Arizona,ARI,DST,137,273
Jermaine Kearse,NYJ,WR,126,283
Alfred Morris,SF,RB,126,359
Robbie Gould,SF,K,149,263
Sam Bradford,ARI,QB,137,274
Brandon Marshall,SEA,WR,131,285
Green Bay,GB,DST,157,298
Terrance Williams,DAL,WR,121,276
Willie Snead,BAL,WR,108,297
James Conner,PIT,RB,124,314
Jordan Matthews,FA,WR,125,386
Jake Butt,DEN,TE,140,284
Jonathan Williams,NO,RB,128,323
New York,NYG,DST,147,292
Graham Gano,CAR,K,148,286
Vernon Davis,WAS,TE,154,323
Brandon McManus,DEN,K,151,316
Jeremy Hill,NE,RB,128,283
Tyler Kroft,CIN,TE,133,289
Phillip Dorsett,NE,WR,127,306
Ryan Succop,TEN,K,167,292
Tennessee,TEN,DST,173,308
Dante Pettis,SF,WR,165,287
Chase Edmonds,ARI,RB,132,279
C.J. Prosise,SEA,RB,156,319
Kai Forbath,FA,K,154,290
Detroit,DET,DST,146,371
Rod Smith,DAL,RB,153,297
Mack Hollins,PHI,WR,123,369
Terrelle Pryor,NYJ,WR,175,281
Adam Vinatieri,IND,K,146,280
Nick Vannett,SEA,TE,165,299
Antonio Callaway,CLE,WR,129,335
Corey Grant,JAC,RB,165,290
Cincinnati,CIN,DST,163,300
Antonio Gates,FA,TE,146,263
Blake Jarwin,DAL,TE,143,342
Christine Michael,IND,RB,134,313
Ameer Abdullah,DET,RB,175,340
Buffalo,BUF,DST,142,322
Jeremy Maclin,FA,WR,127,259
Trent Taylor,SF,WR,156,309
Josh Allen,BUF,QB,163,326
TreQuan Smith,NO,WR,165,370
Taylor Gabriel,CHI,WR,139,280
Charles Sims,TB,RB,151,303
Gerald Everett,LAR,TE,176,282
Adam Shaheen,CHI,TE,158,317
Sam Darnold,NYJ,QB,166,327
Kaimi Fairbairn,HOU,K,169,284
Josh McCown,NYJ,QB,180,310
Elijah McGuire,NYJ,RB,146,291
Kyle Juszczyk,SF,RB,149,339
C.J. Fiedorowicz,FA,TE,150,252
Ryan Griffin,HOU,TE,169,357
Jonathan Stewart,NYG,RB,176,335
Stephen Anderson,HOU,TE,171,313
Steven Hauschka,BUF,K,166,362
Zay Jones,BUF,WR,175,290
Lamar Jackson,BAL,QB,179,331
Dallas,DAL,DST,174,362
Alfred Blue,HOU,RB,153,344
Josh Lambo,JAC,K,182,324
Jalen Richard,OAK,RB,167,349
Cairo Santos,FA,K,168,328
Jonnu Smith,TEN,TE,165,369
Tyler Boyd,CIN,WR,179,291
Daniel Carlson,MIN,K,187,360
Teddy Bridgewater,NYJ,QB,168,365
Curtis Samuel,CAR,WR,176,304
Kendall Wright,MIN,WR,169,329
Dontrelle Inman,FA,WR,179,192
DeAngelo Henderson,DEN,RB,170,332
John Kelly,LAR,RB,188,318
Kenny Britt,FA,WR,180,383
Ed Dickson,SEA,TE,189,322
Phillip Lindsay,DEN,RB,181,355
J.J. Nelson,ARI,WR,190,306
Kevin White,CHI,WR,182,394
Jesse James,PIT,TE,190,341
Brice Butler,ARI,WR,184,391
Tampa Bay,TB,DST,193,352
Josh Rosen,ARI,QB,187,353
Ryan Fitzpatrick,TB,QB,189,356
Jaylen Samuels,PIT,TE,190,363
Nick Boyle,BAL,TE,190,351
Chester Rogers,IND,WR,191,307
Mark Walton,CIN,RB,195,397
Dallas Goedert,PHI,TE,197,329
Cleveland,CLE,DST,197,347
Washington,WAS,DST,194,361
Travis Benjamin,LAC,WR,195,303
Baker Mayfield,CLE,QB,195,331
Caleb Sturgis,LAC,K,198,345
DeAndre Washington,OAK,RB,196,320
Jeremy Kerley,BUF,WR,197,343
Nick Foles,PHI,QB,198,406
Dustin Hopkins,WAS,K,199,366
Phil Dawson,ARI,K,200,330
Josh Hill,NO,TE,208,294
Virgil Green,LAC,TE,202,298
Jaron Brown,SEA,WR,205,295
Tavon Austin,DAL,WR,206,325
Jakeem Grant,MIA,WR,202,382
Torrey Smith,CAR,WR,214,330
D.J. Chark,JAC,WR,224,309
Adam Humphries,TB,WR,219,314
Cordarrelle Patterson,NE,WR,212,342
Ryan Switzer,OAK,WR,226,315
Joe Williams,SF,RB,203,345
Keke Coutee,HOU,WR,220,305
Blair Walsh,FA,K,201,335
Garrett Celek,SF,TE,208,328
Chad Williams,ARI,WR,218,307
Malcolm Mitchell,FA,WR,216,364
Mark Andrews,BAL,TE,235,338
San Francisco,SF,DST,202,355
Brandon LaFell,FA,WR,238,359
Equanimeous St. Brown,GB,WR,247,387
Tyler Higbee,LAR,TE,218,357
AJ McCarron,BUF,QB,249,325
Mike Gillislee,NE,RB,229,341
DaeSean Hamilton,DEN,WR,222,347
Sebastian Janikowski,SEA,K,282,291
Damien Williams,KC,RB,255,343
Jacquizz Rodgers,TB,RB,202,350
Laquon Treadwell,MIN,WR,239,346
Akrum Wadley,TEN,RB,233,352
Aldrick Rosas,NYG,K,288,294
Jordan Akins,HOU,TE,202,395
Orleans Darkwa,FA,RB,261,331
Cody Parkey,CHI,K,203,335
Justin Jackson,LAC,RB,253,331
Travaris Cadet,BUF,RB,261,327
Seth Roberts,OAK,WR,245,338
Kapri Bibbs,WAS,RB,244,349
Rico Gathers,DAL,TE,205,344
Cody Latimer,NYG,WR,203,375
New York,NYJ,DST,230,391
Chris Conley,KC,WR,248,351
Clive Walford,NYJ,TE,278,333
Chandler Catanzaro,TB,K,264,384
Mike Davis,SEA,RB,227,400
Robert Turbin,IND,RB,266,346
Ryan Hewitt,CIN,RB,287,332
