Pos,Player,Team,ANDY BEHRENS8/28,SCOTT PIANOWSKI8/28,DALTON DEL DON8/25,LIZ LOZA8/24,MATT HARMON7/22
RB,Justice Hill,BAL,,71,,69,88
RB,Mike Boone,MIN,,87,61,,83
RB,Lynn Bowden Jr.,LV,75,83,76,,
RB,Mike Davis,CAR,,,59,,87
RB,Ryan Nall,CHI,,63,,,
RB,Devine Ozigbo,JAC,,,66,,
RB,Darwin Thompson,KC,,,84,,74
RB,Trayveon Williams,CIN,,,68,,106
RB,Dion Lewis,NYG,,,86,,75
RB,Jaylen Samuels,PIT,,86,,,76
RB,Artavis Pierce,CHI,,,71,,
RB,Ty Montgomery,NO,,85,78,,97
RB,DeeJay Dallas,SEA,,89,80,,
RB,Lamical Perine,NYJ,,,79,,
RB,Patrick Laird,MIA,,88,,,84
RB,Bo Scarbrough,DET,,,,,81
RB,Reggie Bonnafon,CAR,,82,,,93
RB,Eno Benjamin,ARI,,,83,,
RB,Qadree Ollison,ATL,,84,,,94
RB,Jordan Wilkins,IND,,,,,85
RB,T.J. Yeldon,BUF,,,,,86
RB,Wayne Gallman,NYG,,90,,,89
RB,Myles Gaskin,MIA,,,,,90
RB,Jeff Wilson,SF,,91,,,100
RB,Travis Homer,SEA,,,,,92
RB,Kalen Ballage,NYJ,,,,,95
RB,Ty Johnson,DET,,,,,96
RB,Frank Gore,NYJ,,,,,99
RB,Dexter Williams,GB,,,,,101
RB,Bilal Powell,FA,,,,,102
RB,Dontrell Hilliard,CLE,,,,,103
RB,Corey Clement,PHI,,,,,104
RB,Kyle Juszczyk,SF,,,,,105
RB,Kerrith Whyte Jr.,PIT,,,,,107
RB,Devontae Booker,LV,,,,,108
WR,Michael Thomas,NO,1,1,2,1,2
WR,Davante Adams,GB,3,2,1,2,1
WR,Tyreek Hill,KC,2,3,4,3,4
WR,Julio Jones,ATL,5,4,3,4,3
WR,DeAndre Hopkins,ARI,4,5,11,5,6
WR,Allen Robinson,CHI,7,8,5,7,5
WR,Chris Godwin,TB,6,6,21,6,7
WR,Adam Thielen,MIN,12,10,7,10,10
WR,Kenny Golladay,DET,14,9,10,8,11
WR,Odell Beckham Jr.,CLE,9,15,19,9,8
WR,D.J. Moore,CAR,16,12,8,14,14
WR,Mike Evans,TB,11,7,26,12,9
WR,A.J. Brown,TEN,18,14,6,13,17
WR,Terry McLaurin,WAS,13,19,9,19,13
WR,JuJu Smith-Schuster,PIT,15,13,22,11,16
WR,Cooper Kupp,LAR,10,16,17,17,21
WR,Tyler Lockett,SEA,22,17,12,21,12
WR,Amari Cooper,DAL,21,11,23,15,15
WR,D.J. Chark,JAC,8,22,15,20,24
WR,Calvin Ridley,ATL,23,21,14,18,18
WR,D.K. Metcalf,SEA,25,20,13,23,22
WR,Courtland Sutton,DEN,17,26,18,24,20
WR,Keenan Allen,LAC,20,23,31,16,19
WR,Robert Woods,LAR,19,18,27,22,25
WR,T.Y. Hilton,IND,27,27,20,26,28
WR,Marquise Brown,BAL,28,30,16,27,29
WR,DeVante Parker,MIA,29,25,25,25,27
WR,Michael Gallup,DAL,24,31,24,28,26
WR,Tyler Boyd,CIN,32,24,30,29,35
WR,Stefon Diggs,BUF,34,29,37,30,23
WR,Will Fuller,HOU,30,32,33,34,30
WR,Jarvis Landry,CLE,36,28,32,32,32
WR,Diontae Johnson,PIT,37,35,29,33,33
WR,A.J. Green,CIN,26,37,35,39,31
WR,Julian Edelman,NE,33,38,42,31,34
WR,Marvin Jones,DET,31,39,34,35,41
WR,Jamison Crowder,NYJ,35,34,40,37,37
WR,Sterling Shepard,NYG,46,46,39,38,36
WR,Darius Slayton,NYG,38,36,47,42,46
WR,John Brown,BUF,47,33,54,36,40
WR,Brandin Cooks,HOU,41,43,50,44,38
WR,Anthony Miller,CHI,51,47,36,45,42
WR,Emmanuel Sanders,NO,43,42,46,43,48
WR,Christian Kirk,ARI,48,41,49,41,44
WR,Mike Williams,LAC,53,40,52,40,39
WR,CeeDee Lamb,DAL,42,56,28,57,57
WR,Jalen Reagor,PHI,50,50,44,46,51
WR,Curtis Samuel,CAR,60,44,53,49,43
WR,Deebo Samuel,SF,49,57,55,48,45
WR,Golden Tate,NYG,52,52,48,51,53
WR,Mecole Hardman,KC,55,45,51,58,50
